Transcriptions,Signature,Burial place,Mother,Instruments,Battles/wars,Parent(s),Rank,Spouse(s),Honours,Branch,2002–2007,Known for,"Service/, branch",Resting place,Place of Birth,Board member of,Partner(s),Relative(s),Genres,Website,Years of service,Burial,Issue,Other names,Name,Commands held,Spouses,Born,Family,Jyutping,Occupation,Succeeded by,Citizenship,Employer(s),Origin,Religion,Relatives,Education,Death Place,Works,Father,Awards,Birth Date,Organizations,President,Medium,Died,Allegiance,Hanyu Pinyin,Simplified Chinese,Height,Labels,Years active,Partner,1997–2007,Cause of death,Occupations,Traditional Chinese,Monuments,Service number,Losses,Partners,Instrument(s),Parent,Children,Full Birth Name,Organization,Reach,Spouse,Alma mater,Title,Occupation(s),Unit,Wins,Formerly of,Parents,House,Weight(s),Preceded by,Notable work,Political party,Nationality,Wade–Giles
,,,,,,,,"Josephine Saenz,  ,  , (, m., 1933;, div., 1945),  , Esperanza Baur,  ,  , (, m., 1946;, div., 1954),  , Pilar Pallete,  , (, m., 1954),  ",,,,,,"Pacific View Memorial Park, ,, Newport Beach, California, 33°36′34″N, 117°51′12″W, ﻿ / ﻿, 33.60953°N 117.85336°W, ﻿ /, 33.60953; -117.85336","Winterset, Iowa, , U.S.",,,,,Official website,,,,"Marion Michael Morrison, 'Duke' Wayne",John Wayne,,,,,,,,,,,,,,"Los Angeles, California",,,,1907-05-26,,,,1979-06-11,,,,,,1926–1976,,,,"Actor, producer",,,,,,,,"7, including, Michael, ,, Patrick, , and, Ethan",Marion Robert Morrison,,,,University of Southern California,,,,,,,,,,,Republican,,
,,,,,,,,,,,,,,Holy Cross Cemetery,"Waterbury, Connecticut, , U.S.",,,,,,,,,,Rosalind Russell,,,,,,,,,,,,,,"Beverly Hills, California, , U.S.",,,,1907-06-04,,,,1976-11-28,,,,,,1929–1972,,,,"Actress, comedian, screenwriter, singer",,,,,,,,1,Catherine Rosalind Russell,,,"Frederick Brisson,  , (, m., 1941),  ",,,,,,,,,,,,Republican,,
,,,,,,,,,,,,,,,"Brooklyn, New York, , U.S.",,,,,,,,,,Barbara Stanwyck,,"Frank Fay,  ,  , (, m., 1928;, div., 1935),  , Robert Taylor,  ,  , (, m., 1939;, div., 1952),  ",,,,,,,,,,,,"Santa Monica, California, , U.S.",,,,1907-07-16,,,,1990-01-20,,,,,,1922–1986,,,,"Actress, model, dancer",,,,,,,,1,Ruby Catherine Stevens,,,,,,,,,,,,,,,Republican,,
,,,,,,,,,,,,,,Forest Lawn Memorial Park,"Lowell, Massachusetts, , U.S.",,,,,,,,,,Bette Davis,,"Harmon Oscar Nelson,  ,  , (, m., 1932;, div., 1938),  , Arthur Farnsworth,  ,  , (, m., 1940; died 1943),  , William Grant Sherry,  ,  , (, m., 1945;, div., 1950),  , Gary Merrill,  ,  , (, m., 1950;, div., 1960),  ",,,,Actress,,,,,,,,"Neuilly-sur-Seine, , France",,,,1908-04-05,,,,1989-10-06,,,,,,1929–1989,,,,,,,,,,,,"3, including, B. D. Hyman",Ruth Elizabeth Davis,,,,,,,,,,,,,,,Democratic,,
,,,,,,,,,,,,,,"Forest Lawn Memorial Park, ,, Glendale, California, , U.S.","Fort Wayne, Indiana, , U.S.",,,,,,,,,,Carole Lombard,,"William Powell,  ,  , (, m., 1931;, div., 1933),  , Clark Gable,  , (, m., 1939),  ",,,,Actress,,,,,,,,"Mount Potosi, Nevada, , U.S.",,,,1908-10-06,,,,1942-01-16,,,,,,1921–1942,,,,,,,,,,,,,Jane Alice Peters,,,,,,,,,,,,,,,Democratic,,
,,,,,,,,"Isabel Lean,  ,  , (, m., 1930;, div., 1936),  , Kay Walsh,  ,  , (, m., 1940;, div., 1949),  , Ann Todd,  ,  , (, m., 1949;, div., 1957),  , Leila Matkar,  ,  , (, m., 1960;, div., 1978),  , Sandra Hotz,  ,  , (, m., 1981;, div., 1984),  , Sandra Cooke,  , (, m., 1990),  ",,,,,,"Putney Vale Cemetery, ,, London, , England","Croydon, ,, Surrey, , England",,,,,,,,,,David Lean,,,,,,,,,,,,,,"Limehouse, ,, London, , England",,,,1908-03-25,,,,1991-04-16,,,,,,1930–1991,,,,,,,,,,,,Peter Lean,,,,,,,"Film director, ,, film producer, ,, screenwriter, ,, film editor",,,,,,,,,,,
,,,,,,,Brigadier General,,,,,,,"Forest Lawn Memorial Park, ,, Glendale, California, , U.S.","Indiana, Pennsylvania, , U.S.",,,,,,"1941–1947 (Army), 1947–1968 (Air Force)",,,,James Stewart,703d Bombardment Squadron,,,,,,,,,,,,,"Beverly Hills, California, , U.S.",,,Full list,1908-05-20,,,,1997-07-02,United States,,,,,1932–1991,,,,"Actor, military pilot",,,,,,,,4,James Maitland Stewart,,,"Gloria Hatrick McLean,  ,  , (, m., 1949; died 1994),  ","Princeton University, (, AB, )",,,"2nd Bombardment Wing, Air Force Reserve",,,,,,,,Republican,,
,,,,,,,,,,,,,,"Panteón de Dolores, ,, Mexico City, , Mexico","San Luis Potosí City, , Mexico",,,,,,,,,,Lupe Vélez,,,,,,,,,,,,,,"Glendale, California, , U.S.",,,,1908-07-18,,,,1944-12-13,,,,,,1924–1944,,,Barbiturate overdose,"Actress, singer, dancer",,,,,,,,,María Guadalupe Villalobos Vélez,,,"Johnny Weissmuller,  ,  , (, m., 1933;, div., 1939),  ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,"Ashes scattered in, Portofino, and, Forest Lawn Memorial Park","Huyton, ,, Lancashire, , England",,,,,,,,,,Rex Harrison,,"Noel Margery Colette-Thomas,  ,  , (, m., 1934;, div., 1942),  , Lilli Palmer,  ,  , (, m., 1943;, div., 1957),  , Kay Kendall,  ,  , (, m., 1957; died 1959),  , Rachel Roberts,  ,  , (, m., 1962;, div., 1971),  , Elizabeth Rees-Williams,  ,  , (, m., 1971;, div., 1975),  , Mercia Tinker,  , (, m., 1979),  ",,,,Actor,,,,,,"Cathryn Harrison, (granddaughter)",Liverpool College,"New York City, , U.S.",,,,1908-03-05,,,,1990-06-02,,,,,,1930–1990,,,,,,,,,,,,"Noel, Carey",Reginald Carey Harrison,,,,,,,,,,,,,,,,,
,,,,,,,Captain,,,,,,United States Navy,,"New York City, U.S.",,,,,,1941–1954,,,,Douglas Fairbanks Jr.,,,,,,,,,,,,"Jack Whiting, (stepfather)",,"New York City, U.S.",,,"Silver Star, Legion of Merit, Italian War Cross, Legion of Honour, Croix de Guerre, Knight Commander of the Order of the British Empire, (Honorary), Distinguished Service Cross (UK)",1909-12-09,,,,2000-05-07,United States,,,,,1916–1997,,,,"Actor, producer, naval officer",,,,,,,"Douglas Fairbanks, (father)",3,Douglas Elton Fairbanks Jr.,,,"Joan Crawford,  ,  , (, m., 1929;, div., 1933),  , Mary Lee Epling,  ,  , (, m., 1939; died 1988),  , Vera Shelton,  , (, m., 1991),  ",,,,Beach Jumpers,,,,,,,,,,
,,,,,,,,,,,,,,"Forest Lawn Memorial Park, Glendale, California, , U.S.","Battery Point, Tasmania, , Australia",,,,,,,,,,Errol Flynn,,"Lili Damita,  ,  , (, m., 1935;, div., 1942),  , Nora Eddington,  ,  , (, m., 1943;, div., 1949),  , Patrice Wymore,  , (, m., 1950),  ",,,,Actor,,,,,,,,"Vancouver, British Columbia, , Canada",,,,1909-06-20,,,,1959-10-14,,,,,,1932–1959,,,,,,,,,,,"Theodore Thomson Flynn, (father)","4, including, Sean Flynn",Errol Leslie Thomson Flynn,,,,,,,,,,,,,,,,"Australian, American",
,,,,,,,,,,,,,,"São João Batista Cemetery, ,, Rio de Janeiro, , Brazil","Marco de Canaveses, ,, Kingdom of Portugal",,,,Samba,"www, .carmenmiranda, .com, .br",,,,"The Brazilian Bombshell, The Chiquita Banana Girl, A Pequena Notável, (in Brazil)",Carmen Miranda,,,,,,,,,,,,"Amaro da Cunha, (brother), Aurora Miranda, (sister), Cecilia Miranda de Carvalho, (sister)",Convent of Saint Therese of Lisieux,"Beverly Hills, California, , U.S.",,,,1909-02-09,,,,1955-08-05,,,,,"RCA, Brunswick Records, EMI-Odeon, Decca Records, PolyGram",1928–1955,,,,"Singer, dancer, actress",,,,,,Vocals,,,Maria do Carmo Miranda da Cunha,,,"David Alfred Sebastian,  ,  , (, m., 1947),  ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"Constantinople, ,, Ottoman Empire, (now, Istanbul, ,, Turkey, )",,,,,,,,,,Elia Kazan,,"Molly Day Thacher Kazan,  ,  , (, m., 1932; died 1963),  , Barbara Loden,  ,  , (, m., 1967; died 1980),  , Frances Rudge Kazan,  ,  , (, m., 1982),  ",,,,,,,,,,"Zoe Kazan, (granddaughter), Maya Kazan, (granddaughter)","Williams College, (, BA, ), Yale University","New York City, U.S.",,,,1909-09-07,,,,2003-09-28,,,,,,1934–1976,,,,"Actor, director, producer, screenwriter",,,,,,,,"5, including, Nicholas",Elias Kazantzoglou,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"Wilkes-Barre, Pennsylvania, , U.S.",,,,,,,,,Joseph L. Mankiewicz,Joseph L. Mankiewicz,,"Elizabeth Young,  ,  , (, m., 1934;, div., 1937),  , Rose Stradner,  ,  , (, m., 1939; died 1958),  , Rosemary Matthews,  , (, m., 1962),  ",,,,,,,,,,"Herman J. Mankiewicz, (brother), See, Mankiewicz family",,"Bedford, New York, , U.S.",,,,1909-02-11,,,,1993-02-05,,,,,,1929–1972,,,,"Screenwriter, director, producer",,,,,,,,"4, including, Tom Mankiewicz",Joseph Leo Mankiewicz,,,,"Columbia University, (, BA, )",,,,,,,,,,,,,
,,,,,World War II,,Lieutenant colonel,"Primula Susan Rollo,  ,  , (, m., 1940; died 1946),  , Hjördis Genberg,  ,  , (, m., 1948),  ",,,,,British Army,Château-d'Œx Cemetery,"London, , England",,,,,,"1930–1933, 1940–1945",,,,David Niven,,,,,,,,,,,,,"Heatherdown Preparatory School, Stowe School","Château-d'Œx, , Switzerland",,,Legion of Merit,1910-03-01,,,,1983-07-29,United Kingdom,,,,,1932–1983,,,,,,,44959,,,,,"4, including, David Jr.",James David Graham Niven,,,,"Royal Military College, Sandhurst",,"Actor, author","Highland Light Infantry, Rifle Brigade (Prince Consort's Own)",,,,,,,,,,
,,,,,,,,"Clifford Odets,  ,  , (, m., 1937;, div., 1940),  , Robert Knittel,  ,  , (, m., 1945; died 1989),  ",,,,,,,"Düsseldorf, ,, Prussia, ,, German Empire",,,,,,,,,,Luise Rainer,,,,,,Actress,,"Germany, United States, United Kingdom",,,,,,"Belgravia, , London, England",,,,1910-01-12,,,,"30 December 2014, 2014-12-30, aged 104",,,,,,1926–2006,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"St. Louis, , Missouri, U.S.",,,,,,,,,,Vincent Price,,"Edith Barrett,  ,  , (, m., 1938;, div., 1948),  , Mary Grant,  ,  , (, m., 1949;, div., 1973),  , Coral Browne,  ,  , (, m., 1974; died 1991),  ",,,,,,,,,,,,"Los Angeles, California, , U.S.",,,"Hollywood Walk of Fame, :, 2 stars (TV, Film)",1911-05-27,,,,"October 25, 1993, 1993-10-25, aged 82",,,,,,1935–1993,,,,"Actor, art historian, art collector, gourmet cook",,,,,,,,"Vincent Barrett, Victoria",Vincent Leonard Price Jr.,,,,"Yale University, Courtauld Institute of Art",,,,,,,,,,,,,
,,,,,,,,"Charles McGrew,  ,  , (, m., 1927;, div., 1929),  , Paul Bern,  ,  , (, m., 1932; died 1932),  , Harold Rosson,  ,  , (, m., 1933;, div., 1934),  ",,,,,,Forest Lawn Memorial Park,"Kansas City, Missouri, , U.S.",,,,,,,,,,Jean Harlow,,,,,,Actress,,,,,,,,"Los Angeles, California, , U.S.",,,,1911-03-03,,,,1937-06-07,,,,,,1928–1937,"William Powell, (1934–1937)",,Kidney failure,,,,,,,,,,Harlean Harlow Carpenter,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"New York City, U.S.",,,,,"dannykaye, .com",,,,,Danny Kaye,,,,,,,,,,,,,,"Los Angeles, California, U.S.",,,,1911-01-18,,,,1987-03-03,,,,,,1933–1987,,,,"Actor, comedian, singer, dancer, television presenter",,,,,,,,1,David Daniel Kaminsky,,,"Sylvia Fine,  , (, m., 1940),  ",,,,,,,,,,,,Democratic,,
,,,,,,,,,,,,,,Oakwood Memorial Park Cemetery,"Independence, Missouri, , U.S.",,,,,"gingerrogers, .com",,,,,Ginger Rogers,,"Jack Pepper,  ,  , (, m., 1929;, div., 1931),  , Lew Ayres,  ,  , (, m., 1934;, div., 1940),  , Jack Briggs,  ,  , (, m., 1943;, div., 1949),  , Jacques Bergerac,  ,  , (, m., 1953;, div., 1957),  , William Marshall,  ,  , (, m., 1961;, div., 1969),  ",,,,,,,,,,"Phyllis Fraser, (cousin), Vinton Hayworth, (uncle), Steven Grant Rogers, (cousin)",,"Rancho Mirage, California, , U.S.",,,,1911-07-16,,,,1995-04-25,,,,,,1925–1987,,,,"Actress, dancer, singer",,,,,,,,,Virginia Katherine McMath,,,,,,,,,,,,,,,Republican,,
,,,,,,,,,,,,,,"Santa María Magdalena de Pazzis Cemetery, , San Juan","San Juan, Puerto Rico",,,,,,,,,,José Ferrer,,"Uta Hagen,  ,  , (, m., 1938;, div., 1948),  , Phyllis Hill,  ,  , (, m., 1948;, div., 1953),  , Rosemary Clooney,  ,  , (, m., 1953;, div., 1961),  ,  ,  , (, m., 1964;, div., 1967),  , Stella Magee,  , (, m., 1977),  ",,,,,,,,,,"Debby Boone, (daughter-in-law), Tessa Ferrer, (granddaughter), George Clooney, (nephew)","Princeton University, (1933,, B.Arch, )","Coral Gables, Florida, , U.S.",,,"National Medal of Arts, (1985)",1912-01-08,,,,1992-01-26,,,,,,1935–1992,,,,"Actor, film director, theatre director",,,,,,,,"6, including, Miguel Ferrer",José Vicente Ferrer de Otero y Cintrón,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Singin' in the Rain, An American in Paris, On the Town, Invitation to the Dance",,,"Pittsburgh, , Pennsylvania, U.S.",,,,,,,,,,Gene Kelly,,"Betsy Blair,  ,  , (, m., 1941;, div., 1957),  , Jeanne Coyne,  ,  , (, m., 1960; died 1973),  , Patricia Ward,  , (, m., 1990),  ",,,,,,American (Irish citizenship granted late in life),,,,,Peabody High School,"Beverly Hills, California, , U.S.",,,,1912-08-23,,,,1996-02-02,,,,,,1931–1994,,,,"Actor, dancer, singer, filmmaker, choreographer",,,,,,,,3,Eugene Curran Kelly,,,,University of Pittsburgh,,,,,,,,,,,Democratic,,
,,,,,,,,,,,,,,,"Darjeeling, ,, Bengal Presidency, , British India",,,,,,,,,,Vivien Leigh,,"Herbert Leigh Holman,  ,  , (, m., 1932;, div., 1940),  , Laurence Olivier,  ,  , (, m., 1940;, div., 1960),  ",,,,Actress,,,,,,,"Loreto Convent, Convent of the Sacred Heart, Royal Academy of Dramatic Art","Belgravia, , London, England",,,List of awards and nominations,1913-11-05,,,,1967-07-08,,,,,,1935–1967,"John Merivale, (1960–1967)",,,,,,,,,,,Suzanne Farrington,Vivian Mary Hartley,,,,,"Lady Olivier (1947–1960), Vivien, Lady Olivier (1960–1967)",,,,,,,,,"Gone with the Wind, A Streetcar Named Desire, Tovarich",,,
,,,,,,,,,,,,,,"Holy Cross Cemetery, Culver City","Salt Lake City, Utah, , U.S.",,,,,,,,,,Loretta Young,,"Grant Withers,  ,  , (, m., 1930;, annul., 1931),  , Tom Lewis,  ,  , (, m., 1940;, div., 1969),  , Jean Louis,  ,  , (, m., 1993; died 1997),  ",,,,,,,,,,"Polly Ann Young, (sister), Sally Blane, (sister), Georgiana Young, (maternal half-sister)",,"Los Angeles, California, , U.S.",,,,1913-01-06,,,,2000-08-12,,,,,,1917–1994,,,,"Actress, television host",,,,,,,,"Judy, Christopher, Peter",Gretchen Young,,,,,,,,,,,,,,,Republican,,
,,,,,,,,"June Ernst,  ,  , (, m., 1935;, div., 1946),  , Norma Anderson,  ,  , (, m., 1946;, div., 1969),  , Susan Martin,  ,  , (, m., 1990),  ",,,,,,Westwood Memorial Park,"New York City, , U.S.",,,,,,,,,,Burt Lancaster,,,,,,,,,,,,,,"Los Angeles, California, , U.S.",,,,1913-11-02,,,,1994-10-20,,,,,,1935–1991,,,,"Actor, film producer",,,,,,,,"5; including, Bill",Burton Stephen Lancaster,,,,,,,,,,,,,,,Democratic,,
,,,,,,,,,,,,,,,"Sunrise Township, Minnesota, , U.S.",,,,,,,,,,Richard Widmark,,"Jean Hazlewood,  ,  , (, m., 1942; died 1997),  , Susan Blanchard,  , (, m., 1999),  ",,,,,,,,,,,,"Roxbury, Connecticut, , U.S.",,,,1914-12-26,,,,2008-03-24,,,,,,1938–2001,,,,"Actor, producer",,,,,,,,1,Richard Weedt Widmark,,,,"Lake Forest College, (B.A., 1936)",,,,,,,,,,,,,
,,,,,,,,"Herbie Kay,  ,  , (, m., 1935;, div., 1939),  , William Ross Howard III,  ,  , (, m., 1943; died 1978),  ",,,,,,Forest Lawn Memorial Park,"New Orleans, ,, Louisiana, , U.S.",,,,,,,,,,Dorothy Lamour,,,,,,,,,,,,,,"Los Angeles, ,, California, , U.S.",,,,1914-12-10,,,,1996-09-22,,,,,,1933–1995,,,,"Actress, singer",,,,,,,,2,Mary Leta Dorothy Slaton,,,,,,,,,,,,,,,,,
,,"Hollywood Forever Cemetery, ,, Los Angeles, California, , U.S.",,,,,"First lieutenant (USMC), Major (USMCR)",,,,,,United States Marine Corps,,"Cincinnati, , Ohio, U.S.",,,,,,"1942–1946 USMC, 1946–1958, USMCR",,,,Tyrone Power,,"Annabella,  ,  , (, m., 1939;, div., 1948),  , Linda Christian,  ,  , (, m., 1949;, div., 1956),  , Deborah Minardos,  , (, m., 1958),  ",,,,Actor,,,,,,,,"Madrid, , Spain",,,,1914-05-05,,,,1958-11-15,United States,,,,,1932–1958,,,,,,,,,,,"Tyrone Power Sr., (father)","Romina Power, Taryn Power, Tyrone Power Jr.",Tyrone Edmund Power III,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"Vienna, , Austria-Hungary",,,,,,,,,,Hedy Lamarr,,"Fritz Mandl,  ,  , (, m., 1933;, div., 1937),  , Gene Markey,  ,  , (, m., 1939;, div., 1941),  , John Loder,  ,  , (, m., 1943;, div., 1947),  , Teddy Stauffer,  ,  , (, m., 1951;, div., 1952),  , W. Howard Lee,  ,  , (, m., 1953;, div., 1960),  , Lewis J. Boies,  ,  , (, m., 1963;, div., 1965),  ",,,,,,"Austria (1914−1938), United States (1953−2000)",,,,,,"Casselberry, Florida, , U.S.",,,,1914-11-09,,,,2000-01-19,,,,,,,,,,"Actress, inventor",,,,,,,,3,Hedwig Eva Maria Kiesler,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"Ronda, ,, Andalusia, , Spain","Kenosha, Wisconsin, , U.S.",,,,,,,,,,Orson Welles,,"Virginia Nicolson, (married 1934–1940), Rita Hayworth, (married 1943–1947), Paola Mori, (married 1955–1985)",,,,,,,,,,,,"Los Angeles, California, , U.S.",,,,1915-05-06,,,,1985-10-10,,,,,,1931–1985,,,,"Actor, director, producer, screenwriter",,,,,"Dolores del Río, (1940–1943), Oja Kodar, (1966–1985)",,,"3, including, Beatrice",George Orson Welles,,,,,,,,,,,,,,"Citizen Kane, ,, The Magnificent Ambersons, ,, The Lady From Shanghai, ,, Touch of Evil, ,, Chimes at Midnight, ,, F For Fake",Democratic,,
,,Desert Memorial Park,,,,,,,,,,,,,"Hoboken, New Jersey, , U.S.",,,,"Traditional pop, easy listening, jazz, swing, big band","sinatra, .com",,,,,Frank Sinatra,,"Nancy Barbato,  ,  , (, m., 1939, ;, div., 1951, ),  , Ava Gardner,  ,  , (, m., 1951;, div., 1957),  , Mia Farrow,  ,  , (, m., 1966, ;, div., 1968),  , Barbara Marx,  , (, m., 1976, ),  ",,,,,,,,,,,,"Los Angeles, California, , U.S.",,,,1915-12-12,,,,1998-05-14,,,,,"RCA Victor, Columbia, Capitol, Reprise, Warner Bros.",1935–1995,,,,"Singer, actor, producer",,,,,,Vocals,,"Nancy, Frank Jr., Tina",Francis Albert Sinatra,,,,,,,,,Rat Pack,"Antonino Martino Sinatra, Natalina Garaventa",,,,,,,
,,,,,,,,,,,,,,"Norra Begravningsplatsen, , Stockholm","Stockholm, , Sweden",,,,,ingridbergman.com,,,,,Ingrid Bergman,,"Petter Lindström,  ,  , (, m., 1937;, div., 1950),  , Roberto Rossellini,  ,  , (, m., 1950;, div., 1957),  , Lars Schmidt,  ,  , (, m., 1958;, div., 1975),  ",,,,Actress,,,,,,,,"London, England",,,Full list,1915-08-29,,,,1982-08-29,,,,,,1932–1982,,,,,,,,,,,,"4, including, Pia Lindström, and, Isabella Rossellini",,,,,,,,,,,,,,,"Casablanca, For Whom the Bell Tolls, Gaslight, The Bells of St. Mary's, Spellbound, Notorious, Stromboli, Europa '51, Journey to Italy, Indiscreet, Cactus Flower, Murder on the Orient Express, Autumn Sonata",,,
,,,,,,,,"Tony Martin,  ,  , (, m., 1937;, div., 1940),  , Phil Harris,  ,  , (, m., 1941; died 1995),  ",,,,"Alexander's Ragtime Band, Hello, Frisco, Hello, In Old Chicago, Rose of Washington Square, Lillian Russell",,Forest Lawn Cemetery,"Manhattan, ,, New York City, , U.S.",,,,,"alicefaye, .com",,,,,Alice Faye,,,,,,,,,,,,,,"Rancho Mirage, California, , U.S.",,,,1915-05-05,,,,1998-05-09,,,,,,1934–1995,,,,"Actress, singer",,,,,,,,2,Alice Jeanne Leppert,,,,,,,,,,,,,,,,,
,,"Quinn Family Estate, Bristol County, Rhode Island, , U.S.",,,,,,"Katherine DeMille,  ,  , (, m., 1937;, div., 1965),  , Jolanda Addolori,  ,  , (, m., 1966;, div., 1997),  , Katherine Benvin,  , (, m., 1997),  ",,,,,,,"Chihuahua, , Mexico",,,,,,,,,,Anthony Quinn,,,,,,,,"Mexico, United States",,,,,,"Boston, ,, Massachusetts, , U.S.",,,,1915-04-21,,,,2001-06-03,,,,,,1936–2001,,,,"Actor, film director, painter, sculptor, restaurateur, writer",,,,,,,,"12; including, Francesco, ,, Danny, and, Lorenzo",Manuel Antonio Rodolfo Quinn Oaxaca,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"Tokyo, , Japan",,,,,,,,,"Olivia Fontaine, Livvie",Olivia de Havilland,,"Marcus Goodrich,  ,  , (, m., 1946;, div., 1953),  , Pierre Galante,  ,  , (, m., 1955;, div., 1979),  ",,,,Actress,,"United Kingdom (by descent), United States (from 1941), France (after 1955)",,,,"Joan Fontaine, (sister), Hereward de Havilland, (cousin), Geoffrey de Havilland, (cousin)",,"Paris, , France",,,Full list,1916-07-01,,,,2020-07-26,,,,,,1933–2009,,,,,,,,,,,,2,Olivia Mary de Havilland,,,,,,,,,,"Walter de Havilland, (father), Lilian Fontaine, (mother)",,,,,,,
,,,,,,,,,,,,,,"Cathedral of Our Lady of the Angels, , Los Angeles","San Diego, California, , U.S.",,,,,"gregorypeck, .com",,,,,Gregory Peck,,"Greta Kukkonen,  ,  , (, m., 1942;, div., 1955),  , Veronique Passani,  , (, m., 1955),  ",,,,Actor,,,,,,"Ethan Peck, (grandson)",,"Los Angeles, , California, U.S.",,,,1916-04-05,,,,2003-06-12,,,,,,1941–2000,,,,,,,,,,,,"5, including, Cecilia Peck",Eldred Gregory Peck,,,,"San Diego State University, University of California, Berkeley, (dropped out)",,,,,,,,,,,Democratic,,
,,,,,,,,,,,,,,"Inglewood Park Cemetery, , Inglewood, California, U.S.","St. Louis, , Missouri, U.S.",,,,,,,,,Frances Dean,Betty Grable,,"Jackie Coogan,  ,  , (, m., 1937;, div., 1939),  , Harry James,  ,  , (, m., 1943;, div., 1965),  ",,,,,,,,,,,,"Santa Monica, , California, U.S.",,,,1916-12-18,,,,1973-07-02,,,,,,1929–1973,,,,"Actress, pin-up girl, dancer, model, singer",,,,,,,,2,Elizabeth Ruth Grable,,,,,,,,,,,,,,,Republican,,
,,,,,,,,,,,,,,,"Newport, Rhode Island, , U.S.",,,,,,,,,,Van Johnson,,,,,,Actor,,,,,,,,"Nyack, New York, , U.S.",,,,1916-08-25,,,,2008-12-12,,,,,,1935–1992,,,,,,,,,,,,"1 daughter, 2 stepsons, including, Tracy Keenan Wynn",Charles Van Dell Johnson,,,"Eve Lynn Abbott Wynn,  ,  , (, m., 1947;, div., 1968),  ",,,,,,,,,,,,,,
,,,,,,,,,,,,,United States Navy,"Westwood Village Memorial Park Cemetery, , Westwood, California","Amsterdam, New York, , U.S.",,,,,,1941–1944,,,"Isador Demsky, Izzy Demsky",Kirk Douglas,,"Diana Dill,  ,  , (, m., 1943;, div., 1951),  , Anne Buydens,  , (, m., 1954),  ",,,,,,,,,,,,"Beverly Hills, California, , U.S.",,,,1916-12-09,,,,2020-02-05,,,,,,1944–2008,,,,"Actor, filmmaker, philanthropist",,,,,,,,"Michael, Joel, Peter, Eric",Issur Danielovitch,,,,St. Lawrence University,,,,,,,,,,,Democratic,,
,,,,,,,,,,,,"The Lost Weekend, Stage Fright, Johnny Belinda, The Blue Veil, Falcon Crest, The Yearling, Magnificent Obsession",,"Forest Lawn Mortuary and Memorial Park, ,, Cathedral City, California","St. Joseph, Missouri, , U.S.",,,,,,,,,,Jane Wyman,,"Ernest Wyman,  ,  , (, m., 1933;, div., 1935),  , Myron Futterman,  ,  , (, m., 1937;, div., 1938),  , Ronald Reagan,  ,  , (, m., 1940;, div., 1949),  , Frederick Karger,  ,  , (, m., 1952;, div., 1955),  ,  ,  , (, m., 1961;, div., 1965),  ",,,,,,,,,,,,"Rancho Mirage, California, , U.S.",,,,1917-01-05,,,,2007-09-10,,,,,,1932–1993,,,,"Actress, singer, dancer, philanthropist",,,,,,,,"3, including, Maureen, and, Michael Reagan",Sarah Jane Mayfield,,,,,,,,,,,,,,,Republican,,
,,,,,,,,"Louis Jordan Jones,  ,  , (, m., 1937;, div., 1944),  , Lennie Hayton,  ,  , (, m., 1947; died 1971),  ",,,,,,,"New York City, U.S.",,,,"R&B, soul, Broadway, traditional pop, vocal jazz",,,,,,Lena Horne,,,,,,,,,,"Harlem, New York City",,"Jenny Lumet, (granddaughter), Jake Cannavale, (great-grandson)",,"New York City, U.S.",,,,1917-06-30,,,,2010-05-09,,,,,"MGM, RCA Victor, United Artists, Blue Note, Qwest, /, Warner Bros.",1933–2003,,,,"Singer, dancer, actress, activist",,,,,,Vocals,,2,Lena Mary Calhoun Horne,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Our Lady of Perpetual Help Cemetery,"New York City, U.S.",,,,,,,,,,Susan Hayward,,"Jess Barker,  ,  , (, m., 1944;, div., 1954),  , Floyd Eaton Chalkley,  ,  , (, m., 1957; died 1966),  ",,,,Actress,,,,,,,,"Beverly Hills, California, , U.S.",,,,1917-06-30,,,,1975-03-14,,,,,,1937–1972,,,,,,,,,,,,2,Edythe Marrenner,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"Bridgeport, Connecticut, , U.S.",,,,,,,,,,Robert Mitchum,,,,,,,,,,,,"Julie Mitchum, (sister), John Mitchum, (brother), Bentley Mitchum, (grandson), Casper Van Dien, (grandson-in-law), Grace Van Dien, (great-granddaughter)",,"Santa Barbara, California, , U.S.",,,,1917-08-06,,,,1997-07-01,,,,,,1942–1995,,,,"Actor, singer",,,,,,,,"3, including, James, and, Christopher Mitchum",Robert Charles Durman Mitchum,,,"Dorothy Spence,  ,  , (, m., 1940),  ",,,,,,,,,,,,Republican,,
